estacao=TRMM.4762 (9005761)
municipio=Espigão D`Oeste (1100098)
latitude=-11,0
longitude=-61,0
altitude=204,0m 

* variaveis calculadas pelo sistema 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; precipitacao ; precipitacao Estimada ; estiagem* ; estiagemAgricola* ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; direcaoVento ; horarioVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
26/09/2018;24,0;sim;30,5;sim;37,0;sim;0,08;não;;;;não;;não;;;;;;;;;;;
25/09/2018;23,0;sim;29,5;sim;36,0;sim;52,95;não;;;;não;;não;;;;;;;;;;;
24/09/2018;24,0;sim;30,5;sim;37,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
23/09/2018;23,0;sim;29,5;sim;36,0;sim;0,05;não;;;;não;;não;;;;;;;;;;;
22/09/2018;24,0;sim;30,0;sim;36,0;sim;0,35;não;;;;não;;não;;;;;;;;;;;
21/09/2018;22,0;sim;28,5;sim;35,0;sim;6,48;não;;;;não;;não;;;;;;;;;;;
20/09/2018;23,0;sim;29,5;sim;36,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
19/09/2018;23,0;sim;29,5;sim;36,0;sim;3,03;não;;;;não;;não;;;;;;;;;;;
18/09/2018;22,0;sim;29,0;sim;36,0;sim;3,95;não;;;;não;;não;;;;;;;;;;;
17/09/2018;22,0;sim;29,0;sim;36,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
16/09/2018;23,0;sim;26,5;sim;30,0;sim;16,78;não;;;;não;;não;;;;;;;;;;;
15/09/2018;23,0;sim;27,0;sim;31,0;sim;55,0;não;;;;não;;não;;;;;;;;;;;
14/09/2018;23,0;sim;29,5;sim;36,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
13/09/2018;24,0;sim;30,0;sim;36,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
12/09/2018;25,0;sim;30,5;sim;36,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
11/09/2018;23,0;sim;30,0;sim;37,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
10/09/2018;23,0;sim;30,5;sim;38,0;sim;0,13;não;;;;não;;não;;;;;;;;;;;
09/09/2018;22,0;sim;30,0;sim;38,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
08/09/2018;22,0;sim;30,0;sim;38,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
07/09/2018;21,0;sim;30,5;sim;40,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
06/09/2018;15,0;sim;25,5;sim;36,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
05/09/2018;16,0;sim;24,5;sim;33,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
04/09/2018;17,0;sim;25,0;sim;33,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
03/09/2018;18,0;sim;25,0;sim;32,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
02/09/2018;22,0;sim;27,0;sim;32,0;sim;0,13;não;;;;não;;não;;;;;;;;;;;
01/09/2018;23,0;sim;29,5;sim;36,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
31/08/2018;21,0;sim;29,0;sim;37,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
30/08/2018;21,0;sim;28,0;sim;35,0;sim;0,0;não;;;;não;;não;;;;;;;;;;;
